Text,Score,Suggestion
100,1, دوره‌ای که ارائه شد بسیار مفید و کاربردی بود
75,1, مدرس دوره بسیار با انرژی و دانشمند بود
100,1, محتوای دوره بسیار جامع و به‌روز بود
65,2, دوره خوبی بود ولی انتظار داشتم مثال‌های بیشتری ارائه شود
35,3, متاسفانه  این دوره نتوانست نیازهای یادگیری من را برآورده کند
30,3, دوره خیلی سریع پیش رفت و مطالب به خوبی توضیح داده نشدند
60,2, دوره مفیدی بود اما برخی از ویدیوها کیفیت پایینی داشتند
45,3, به نظر می‌رسد که این دوره برای مبتدیان طراحی شده است   نه حرفه‌ای‌ها
97,1, دوره عالی بود و من توانستم بلافاصله مطالب یاد گرفته شده را در کار خود به کار ببرم
95,1, مدرس بسیار مسلط بود و توانست مطالب را به زبان ساده توضیح دهد
65,2, دوره خوبی بود اما انتظار داشتم که تمرین‌های بیشتری داشته باشد
30,3, محتوای دوره بسیار قدیمی بود و به‌روزرسانی نشده بود
100,1, دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی یاد بگیرم
95,1, دوره به خوبی سازماندهی شده بود و مطالب به ترتیب منطقی ارائه شدند
60,2, مدرس دوره بسیار خوب بود ولی محتوای دوره کافی نبود
35,3, دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد
100,1, من از شرکت در این دوره بسیار راضی بودم و به دیگران هم توصیه می‌کنم
45,3, دوره بسیار طولانی بود و می‌توانست در زمان کمتری تکمیل شود
34,3, مدرس دوره بسیار خشک و بی‌روح تدریس می‌کرد و جذابیتی نداشت
100,1, دوره فوق‌العاده‌ای بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم
98,1, محتوای دوره بسیار متنوع و جذاب بود
75,2, دوره ارزشمندی بود ولی برخی از مباحث نیاز به توضیح بیشتر داشتند
25,3, مدرس دوره نتوانست اطلاعات را به خوبی منتقل کند
95,1, دوره بسیار مفید بود و من توانستم از مطالب آن در پروژه‌های شخصی‌ام استفاده کنم
66,2, دوره خوبی بود اما برخی از قسمت‌ها خیلی پیچیده توضیح داده شده بودند
28,3, متاسفانه  دوره نتوانست انتظارات من را برآورده کند و مطالب جدیدی یاد نگرفتم
100,1, دوره بسیار عالی بود و من به همه توصیه می‌کنم که در آن شرکت کنند
65,2, دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند
50,2, مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود
97,1, دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم
60,2, دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند
15,3, مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم
100,1, دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم
57,2, دوره خوبی بود ولی برخی از مباحث نیاز به توضیحات بیشتر داشتند
27,3, متاسفانه  دوره نتوانست به خوبی مطالب را توضیح دهد و من نتوانستم اطلاعات مفیدی کسب کنم
95,1, دوره بسیار عالی بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم
40,2, دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند
25,2, مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود
99,1, دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم
63,2, دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند
15,3, مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم
97,1, دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم
100,1, دوره‌ای که ارائه شد بسیار مفید و کاربردی بود
80,1, مدرس دوره بسیار با انرژی و دانشمند بود
95,1, محتوای دوره بسیار جامع و به‌روز بود
68,2, دوره خوبی بود ولی انتظار داشتم مثال‌های بیشتری ارائه شود
25,3, متاسفانه  این دوره نتوانست نیازهای یادگیری من را برآورده کند
32,3, دوره خیلی سریع پیش رفت و مطالب به خوبی توضیح داده نشدند
60,2, دوره مفیدی بود اما برخی از ویدیوها کیفیت پایینی داشتند
50,3, به نظر می‌رسد که این دوره برای مبتدیان طراحی شده است، نه حرفه‌ای‌ها
100,1, دوره عالی بود و من توانستم بلافاصله مطالب یاد گرفته شده را در کار خود به کار ببرم
97,1, مدرس بسیار مسلط بود و توانست مطالب را به زبان ساده توضیح دهد
88,2, دوره خوبی بود اما انتظار داشتم که تمرین‌های بیشتری داشته باشد
10,3, محتوای دوره بسیار قدیمی بود و به‌روزرسانی نشده بود
98,1, دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی یاد بگیرم
90,1, دوره به خوبی سازماندهی شده بود و مطالب به ترتیب منطقی ارائه شدند
67,2, مدرس دوره بسیار خوب بود ولی محتوای دوره کافی نبود
12,3, دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد
100,1, من از شرکت در این دوره بسیار راضی بودم و به دیگران هم توصیه می‌کنم
38,2, دوره بسیار طولانی بود و می‌توانست در زمان کمتری تکمیل شود
17,3, مدرس دوره بسیار خشک و بی‌روح تدریس می‌کرد و جذابیتی نداشت
100,1, دوره فوق‌العاده‌ای بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم
96,1, محتوای دوره بسیار متنوع و جذاب بود
64,2, دوره ارزشمندی بود ولی برخی از مباحث نیاز به توضیح بیشتر داشتند
